SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	GradeTested	ReadingTotalWASLTested	ReadingMetStandardIncludingPrevPass	ReadingPercentMetStandardIncludingPrevPass	ReadingMetStandardWithoutPrevPass	ReadingPercentMetStandardWithoutPrevPass	ReadingPercentMetStandardExcludingNoScore	ReadingLevel1	ReadingPercentLevel1	ReadingLevel2	ReadingPercentLevel2	ReadingLevelBasic	ReadingPercentLevelBasic	ReadingLevel3	ReadingPercentLevel3	ReadingLevel4	ReadingPercentLevel4	ReadingNoScore	ReadingPercentNoScore	ReadingNotMet	ReadingPercentNotMet	ReadingExcusedAbsence	ReadingExempted	ReadingWAASPORT	ReadingWAASDAW	MathTotalWASLTested	MathMetStandardIncludingPrevPass	MathPercentMetStandardIncludingPrevPass	MathMetStandardWithoutPrevPass	MathPercentMetStandardWithoutPrevPass	MathPercentMetStandardExcludingNoScore	MathLevel1	MathPercentLevel1	MathLevel2	MathPercentLevel2	MathLevelBasic	MathPercentLevelBasic	MathLevel3	MathPercentLevel3	MathLevel4	MathPercentLevel4	MathNoScore	MathPercentNoScore	MathNotMet	MathPercentNotMet	MathExcusedAbsence	MathExempted	MathWAASPORT	MathWAASDAW	WritingTotalWASLTested	WritingMetStandardIncludingPrevPass	WritingPercentMetStandardIncludingPrevPass	WritingMetStandardWithoutPrevPass	WritingPercentMetStandardWithoutPrevPass	WritingPercentMetStandardExcludingNoScore	WritingLevel1	WritingPercentLevel1	WritingLevel2	WritingPercentLevel2	WritingLevelBasic	WritingPercentLevelBasic	WritingLevel3	WritingPercentLevel3	WritingLevel4	WritingPercentLevel4	WritingNoScore	WritingPercentNoScore	WritingNotMet	WritingPercentNotMet	WritingExcusedAbsence	WritingExempted	WritingWAASPORT	WritingWAASDAW	ScienceTotalWASLTested	ScienceMetStandardIncludingPrevPass	SciencePercentMetStandardIncludingPrevPass	ScienceMetStandardWithoutPrevPass	SciencePercentMetStandardWithoutPrevPass	SciencePercentMetStandardExcludingNoScore	ScienceLevel1	SciencePercentLevel1	ScienceLevel2	SciencePercentLevel2	ScienceLevelBasic	SciencePercentLevelBasic	ScienceLevel3	SciencePercentLevel3	ScienceLevel4	SciencePercentLevel4	ScienceNoScore	SciencePercentNoScore	ScienceNotMet	SciencePercentNotMet	ScienceExcusedAbsence	ScienceExempted	ScienceWAASPORT	ScienceWAASDAW	ReadingLevelIndex	MathLevelIndex
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	3471	McFarland Middle School	8	231	150	64.4	150	64.4	64.9	27	11.6	54	23.2	0	0.0	76	32.6	74	31.8	2	0.9	83	35.6	1	4	4	0	228	100	43.5	100	43.5	43.9	67	29.1	61	26.5	0	0.0	67	29.1	33	14.3	2	0.9	130	56.5	3	5	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	229	85	37.0	85	37.0	37.1	60	26.1	84	36.5	0	0.0	67	29.1	18	7.8	1	0.4	145	63.0	3	5	4	0	2.83	2.27
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	3730	Scootney Springs Elementary	3	94	49	51.6	49	51.6	52.1	16	16.8	29	30.5	0	0.0	28	29.5	21	22.1	1	1.1	46	48.4	0	0	0	0	93	58	61.1	58	61.1	62.4	24	25.3	11	11.6	0	0.0	38	40.0	20	21.1	2	2.1	37	38.9	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.55	2.53
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	3730	Scootney Springs Elementary	4	91	66	72.5	66	72.5	72.5	4	4.4	21	23.1	3	3.3	43	47.3	20	22.0	0	0.0	25	27.5	0	1	0	0	91	45	49.5	45	49.5	49.5	23	25.3	23	25.3	0	0.0	14	15.4	31	34.1	0	0.0	46	50.5	0	1	0	0	88	41	45.1	41	45.1	46.6	15	16.5	32	35.2	0	0.0	26	28.6	15	16.5	3	3.3	50	54.9	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.80	2.58
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	3730	Scootney Springs Elementary	5	80	59	72.8	59	72.8	73.8	6	7.4	15	18.5	2	2.5	30	37.0	27	33.3	1	1.2	22	27.2	0	0	0	0	79	46	56.8	46	56.8	58.2	22	27.2	11	13.6	1	1.2	15	18.5	30	37.0	2	2.5	35	43.2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	31	38.3	31	38.3	38.8	26	32.1	23	28.4	1	1.2	29	35.8	1	1.2	1	1.2	50	61.7	0	0	0	0	2.89	2.58
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	3730	Scootney Springs Elementary	6	84	48	56.5	48	56.5	57.1	5	5.9	31	36.5	0	0.0	33	38.8	15	17.6	1	1.2	37	43.5	0	1	0	0	85	29	34.1	29	34.1	34.1	35	41.2	21	24.7	0	0.0	21	24.7	8	9.4	0	0.0	56	65.9	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.66	2.02
2008-09	Educational Service District 101	01	Adams	01158	Lind School District	2903	Lind Jr Sr High	7	18	7	38.9	7	38.9	38.9	1	5.6	10	55.6	0	0.0	3	16.7	4	22.2	0	0.0	11	61.1	0	0	0	0	18	7	38.9	7	38.9	38.9	9	50.0	2	11.1	0	0.0	4	22.2	3	16.7	0	0.0	11	61.1	0	0	0	0	18	6	33.3	6	33.3	33.3	2	11.1	10	55.6	0	0.0	6	33.3	0	0.0	0	0.0	12	66.7	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.56	2.06
2008-09	Educational Service District 101	01	Adams	01158	Lind School District	2903	Lind Jr Sr High	8	21	11	50.0	11	50.0	52.4	3	13.6	7	31.8	0	0.0	9	40.9	2	9.1	1	4.5	11	50.0	0	0	0	0	22	7	31.8	7	31.8	31.8	9	40.9	6	27.3	0	0.0	7	31.8	0	0.0	0	0.0	15	68.2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	9	40.9	9	40.9	42.9	5	22.7	7	31.8	0	0.0	9	40.9	0	0.0	1	4.5	13	59.1	0	0	0	0	2.36	1.91
2008-09	Educational Service District 101	01	Adams	01158	Lind School District	2903	Lind Jr Sr High	10	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	6	37.5	3	23.1	25.0	9	69.2	0	0.0	0	0.0	3	23.1	0	0.0	1	7.7	10	76.9	0	3	0	0	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	2	12.5	2	12.5	13.3	9	56.3	4	25.0	0	0.0	2	12.5	0	0.0	1	6.3	14	87.5	0	0	0	0	NA	1.38
2008-09	Educational Service District 101	01	Adams	01158	Lind School District	3421	Lind Elementary School	3	11	8	72.7	8	72.7	72.7	0	0.0	3	27.3	0	0.0	1	9.1	7	63.6	0	0.0	3	27.3	0	0	0	0	11	8	72.7	8	72.7	72.7	1	9.1	2	18.2	0	0.0	4	36.4	4	36.4	0	0.0	3	27.3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.36	3.00
2008-09	Educational Service District 101	01	Adams	01158	Lind School District	3421	Lind Elementary School	4	12	8	66.7	8	66.7	66.7	0	0.0	4	33.3	0	0.0	5	41.7	3	25.0	0	0.0	4	33.3	0	0	0	0	11	3	27.3	3	27.3	27.3	3	27.3	5	45.5	0	0.0	2	18.2	1	9.1	0	0.0	8	72.7	1	0	0	0	12	4	33.3	4	33.3	33.3	5	41.7	3	25.0	0	0.0	4	33.3	0	0.0	0	0.0	8	66.7	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.92	2.09
2008-09	Educational Service District 101	01	Adams	01158	Lind School District	3421	Lind Elementary School	5	17	9	52.9	9	52.9	52.9	4	23.5	4	23.5	0	0.0	8	47.1	1	5.9	0	0.0	8	47.1	0	0	0	0	17	5	29.4	5	29.4	29.4	6	35.3	6	35.3	0	0.0	3	17.6	2	11.8	0	0.0	12	70.6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	3	17.6	3	17.6	17.6	6	35.3	8	47.1	0	0.0	3	17.6	0	0.0	0	0.0	14	82.4	0	0	0	0	2.35	2.06
