SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	GradeTested	ReadingTotalWASLTested	ReadingMetStandardIncludingPrevPass	ReadingPercentMetStandardIncludingPrevPass	ReadingMetStandardWithoutPrevPass	ReadingPercentMetStandardWithoutPrevPass	ReadingPercentMetStandardExcludingNoScore	ReadingLevel1	ReadingPercentLevel1	ReadingLevel2	ReadingPercentLevel2	ReadingLevelBasic	ReadingPercentLevelBasic	ReadingLevel3	ReadingPercentLevel3	ReadingLevel4	ReadingPercentLevel4	ReadingNoScore	ReadingPercentNoScore	ReadingNotMet	ReadingPercentNotMet	ReadingExcusedAbsence	ReadingExempted	ReadingWAASPORT	ReadingWAASDAW	MathTotalWASLTested	MathMetStandardIncludingPrevPass	MathPercentMetStandardIncludingPrevPass	MathMetStandardWithoutPrevPass	MathPercentMetStandardWithoutPrevPass	MathPercentMetStandardExcludingNoScore	MathLevel1	MathPercentLevel1	MathLevel2	MathPercentLevel2	MathLevelBasic	MathPercentLevelBasic	MathLevel3	MathPercentLevel3	MathLevel4	MathPercentLevel4	MathNoScore	MathPercentNoScore	MathNotMet	MathPercentNotMet	MathExcusedAbsence	MathExempted	MathWAASPORT	MathWAASDAW	WritingTotalWASLTested	WritingMetStandardIncludingPrevPass	WritingPercentMetStandardIncludingPrevPass	WritingMetStandardWithoutPrevPass	WritingPercentMetStandardWithoutPrevPass	WritingPercentMetStandardExcludingNoScore	WritingLevel1	WritingPercentLevel1	WritingLevel2	WritingPercentLevel2	WritingLevelBasic	WritingPercentLevelBasic	WritingLevel3	WritingPercentLevel3	WritingLevel4	WritingPercentLevel4	WritingNoScore	WritingPercentNoScore	WritingNotMet	WritingPercentNotMet	WritingExcusedAbsence	WritingExempted	WritingWAASPORT	WritingWAASDAW	ScienceTotalWASLTested	ScienceMetStandardIncludingPrevPass	SciencePercentMetStandardIncludingPrevPass	ScienceMetStandardWithoutPrevPass	SciencePercentMetStandardWithoutPrevPass	SciencePercentMetStandardExcludingNoScore	ScienceLevel1	SciencePercentLevel1	ScienceLevel2	SciencePercentLevel2	ScienceLevelBasic	SciencePercentLevelBasic	ScienceLevel3	SciencePercentLevel3	ScienceLevel4	SciencePercentLevel4	ScienceNoScore	SciencePercentNoScore	ScienceNotMet	SciencePercentNotMet	ScienceExcusedAbsence	ScienceExempted	ScienceWAASPORT	ScienceWAASDAW	ReadingLevelIndex	MathLevelIndex
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4227	Rocky Ridge Elementary	4	81	60	74.1	60	74.1	74.1	3	3.7	18	22.2	0	0.0	39	48.1	21	25.9	0	0.0	21	25.9	0	0	0	0	81	39	48.1	39	48.1	48.1	17	21.0	25	30.9	0	0.0	20	24.7	19	23.5	0	0.0	42	51.9	0	0	0	0	81	33	40.7	33	40.7	40.7	13	16.0	35	43.2	0	0.0	29	35.8	4	4.9	0	0.0	48	59.3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.96	2.51
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4227	Rocky Ridge Elementary	5	86	56	64.4	56	64.4	65.1	10	11.5	20	23.0	0	0.0	38	43.7	18	20.7	1	1.1	31	35.6	0	0	3	0	87	35	40.2	35	40.2	40.2	32	36.8	20	23.0	0	0.0	23	26.4	12	13.8	0	0.0	52	59.8	0	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87	17	19.5	17	19.5	19.5	32	36.8	38	43.7	0	0.0	16	18.4	1	1.1	0	0.0	70	80.5	0	0	3	0	2.71	2.17
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4227	Rocky Ridge Elementary	6	85	55	64.7	55	64.7	64.7	5	5.9	25	29.4	0	0.0	41	48.2	14	16.5	0	0.0	30	35.3	0	1	2	0	85	40	47.1	40	47.1	47.1	23	27.1	22	25.9	0	0.0	27	31.8	13	15.3	0	0.0	45	52.9	0	1	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.75	2.35
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4227	Rocky Ridge Elementary	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4296	Camas Prairie Elementary	3	128	90	70.3	90	70.3	70.3	10	7.8	28	21.9	4	3.1	39	30.5	47	36.7	0	0.0	38	29.7	0	1	0	0	128	80	62.5	80	62.5	62.5	29	22.7	19	14.8	0	0.0	54	42.2	26	20.3	0	0.0	48	37.5	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.90	2.60
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4296	Camas Prairie Elementary	4	122	75	61.5	75	61.5	61.5	8	6.6	39	32.0	4	3.3	38	31.1	33	27.0	0	0.0	47	38.5	0	0	1	0	122	58	47.5	58	47.5	47.5	38	31.1	26	21.3	1	0.8	30	24.6	27	22.1	0	0.0	64	52.5	0	0	1	0	119	49	40.2	49	40.2	41.2	30	24.6	40	32.8	0	0.0	37	30.3	12	9.8	3	2.5	73	59.8	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.72	2.36
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4296	Camas Prairie Elementary	5	122	94	77.0	94	77.0	77.0	8	6.6	20	16.4	4	3.3	48	39.3	42	34.4	0	0.0	28	23.0	0	0	1	0	122	62	50.8	62	50.8	50.8	33	27.0	27	22.1	0	0.0	24	19.7	38	31.1	0	0.0	60	49.2	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	121	36	29.8	36	29.8	29.8	36	29.8	49	40.5	0	0.0	34	28.1	2	1.7	0	0.0	85	70.2	1	0	1	0	2.95	2.55
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4296	Camas Prairie Elementary	6	139	105	75.5	105	75.5	75.5	10	7.2	24	17.3	6	4.3	72	51.8	27	19.4	0	0.0	34	24.5	0	0	0	0	139	60	43.2	60	43.2	43.2	46	33.1	33	23.7	0	0.0	40	28.8	20	14.4	0	0.0	79	56.8	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.75	2.24
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4297	Graham Elementary	3	119	90	75.6	90	75.6	75.6	4	3.4	25	21.0	0	0.0	41	34.5	49	41.2	0	0.0	29	24.4	0	0	0	0	119	83	69.7	83	69.7	69.7	18	15.1	18	15.1	1	0.8	51	42.9	31	26.1	0	0.0	36	30.3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.13	2.78
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4297	Graham Elementary	4	128	99	77.3	99	77.3	77.3	6	4.7	23	18.0	3	2.3	48	37.5	48	37.5	0	0.0	29	22.7	0	0	0	0	128	74	57.8	74	57.8	57.8	23	18.0	31	24.2	1	0.8	28	21.9	45	35.2	0	0.0	54	42.2	0	0	0	0	124	58	45.7	58	45.7	46.8	30	23.6	36	28.3	0	0.0	33	26.0	25	19.7	3	2.4	69	54.3	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.03	2.73
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4297	Graham Elementary	5	122	94	77.0	94	77.0	77.0	6	4.9	22	18.0	2	1.6	45	36.9	47	38.5	0	0.0	28	23.0	0	0	0	0	122	78	63.9	78	63.9	63.9	20	16.4	24	19.7	1	0.8	29	23.8	48	39.3	0	0.0	44	36.1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	122	66	54.1	66	54.1	54.1	18	14.8	38	31.1	1	0.8	59	48.4	6	4.9	0	0.0	56	45.9	0	0	0	0	3.06	2.84
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4297	Graham Elementary	6	123	89	72.4	89	72.4	72.4	5	4.1	29	23.6	2	1.6	62	50.4	25	20.3	0	0.0	34	27.6	0	1	0	0	123	67	54.5	67	54.5	54.5	27	22.0	29	23.6	0	0.0	33	26.8	34	27.6	0	0.0	56	45.5	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.84	2.60
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4331	Centennial Elementary	3	103	60	58.3	60	58.3	58.3	19	18.4	24	23.3	0	0.0	37	35.9	23	22.3	0	0.0	43	41.7	0	0	2	0	102	51	49.5	51	49.5	50.0	26	25.2	25	24.3	2	1.9	43	41.7	6	5.8	1	1.0	52	50.5	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.62	2.22
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4331	Centennial Elementary	4	92	56	60.9	56	60.9	60.9	12	13.0	24	26.1	1	1.1	34	37.0	21	22.8	0	0.0	36	39.1	0	0	3	0	92	42	45.7	42	45.7	45.7	30	32.6	20	21.7	0	0.0	22	23.9	20	21.7	0	0.0	50	54.3	0	0	3	0	88	51	55.4	51	55.4	58.0	18	19.6	19	20.7	0	0.0	37	40.2	14	15.2	4	4.3	41	44.6	0	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.67	2.35
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4331	Centennial Elementary	5	113	87	76.3	87	76.3	77.0	12	10.5	14	12.3	2	1.8	41	36.0	44	38.6	1	0.9	27	23.7	0	0	1	0	113	66	57.9	66	57.9	58.4	25	21.9	22	19.3	2	1.8	32	28.1	32	28.1	1	0.9	48	42.1	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	113	43	37.7	43	37.7	38.1	37	32.5	33	28.9	0	0.0	38	33.3	5	4.4	1	0.9	71	62.3	0	0	1	0	2.97	2.57
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4331	Centennial Elementary	6	113	79	69.9	79	69.9	69.9	10	8.8	24	21.2	10	8.8	55	48.7	14	12.4	0	0.0	34	30.1	0	0	1	0	113	45	39.8	45	39.8	39.8	36	31.9	32	28.3	0	0.0	29	25.7	16	14.2	0	0.0	68	60.2	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.47	2.22
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4381	Pioneer Valley Elementary	3	137	97	70.8	97	70.8	70.8	12	8.8	28	20.4	4	2.9	51	37.2	42	30.7	0	0.0	40	29.2	1	1	0	0	138	86	62.3	86	62.3	62.3	24	17.4	28	20.3	2	1.4	58	42.0	26	18.8	0	0.0	52	37.7	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.84	2.59
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4381	Pioneer Valley Elementary	4	115	82	71.3	82	71.3	71.3	5	4.3	28	24.3	6	5.2	53	46.1	23	20.0	0	0.0	33	28.7	0	0	0	0	115	50	43.5	50	43.5	43.5	32	27.8	33	28.7	1	0.9	23	20.0	26	22.6	0	0.0	65	56.5	0	0	0	0	112	72	62.6	72	62.6	64.3	14	12.2	26	22.6	2	1.7	57	49.6	13	11.3	3	2.6	43	37.4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.71	2.36
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4381	Pioneer Valley Elementary	5	145	108	74.5	108	74.5	74.5	9	6.2	28	19.3	3	2.1	51	35.2	54	37.2	0	0.0	37	25.5	0	0	0	0	145	88	60.7	88	60.7	60.7	27	18.6	30	20.7	0	0.0	37	25.5	51	35.2	0	0.0	57	39.3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	145	60	41.4	60	41.4	41.4	22	15.2	63	43.4	0	0.0	54	37.2	6	4.1	0	0.0	85	58.6	0	0	0	0	2.99	2.77
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4381	Pioneer Valley Elementary	6	123	93	75.6	93	75.6	75.6	6	4.9	24	19.5	6	4.9	59	48.0	28	22.8	0	0.0	30	24.4	0	1	0	0	123	62	50.4	62	50.4	50.4	33	26.8	28	22.8	1	0.8	39	31.7	22	17.9	0	0.0	61	49.6	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.79	2.39
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4407	Frontier Jr High	7	282	169	59.5	169	59.5	59.9	27	9.5	86	30.3	1	0.4	108	38.0	60	21.1	2	0.7	115	40.5	0	0	2	0	282	148	52.1	148	52.1	52.5	79	27.8	55	19.4	0	0.0	76	26.8	72	25.4	2	0.7	136	47.9	0	0	2	0	279	175	61.6	175	61.6	62.7	41	14.4	63	22.2	0	0.0	142	50.0	33	11.6	5	1.8	109	38.4	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.69	2.48
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4407	Frontier Jr High	8	276	159	57.6	159	57.6	57.6	32	11.6	85	30.8	0	0.0	85	30.8	74	26.8	0	0.0	117	42.4	0	3	6	0	276	115	41.7	115	41.7	41.7	83	30.1	78	28.3	0	0.0	94	34.1	21	7.6	0	0.0	161	58.3	0	3	6	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	276	110	39.9	110	39.9	39.9	59	21.4	107	38.8	0	0.0	95	34.4	15	5.4	0	0.0	166	60.1	0	3	6	0	2.73	2.19
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4538	North Star Elementary	3	103	80	77.7	80	77.7	77.7	6	5.8	17	16.5	2	1.9	29	28.2	49	47.6	0	0.0	23	22.3	0	0	1	0	103	85	82.5	85	82.5	82.5	13	12.6	5	4.9	2	1.9	46	44.7	37	35.9	0	0.0	18	17.5	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.14	3.00
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4538	North Star Elementary	4	105	88	83.8	88	83.8	83.8	4	3.8	13	12.4	8	7.6	44	41.9	36	34.3	0	0.0	17	16.2	0	0	3	0	105	66	62.9	66	62.9	62.9	18	17.1	21	20.0	1	1.0	23	21.9	42	40.0	0	0.0	39	37.1	0	0	3	0	105	60	57.1	60	57.1	57.1	17	16.2	28	26.7	2	1.9	39	37.1	19	18.1	0	0.0	45	42.9	0	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.91	2.83
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4538	North Star Elementary	5	94	69	72.6	69	72.6	73.4	11	11.6	14	14.7	1	1.1	31	32.6	37	38.9	1	1.1	26	27.4	0	0	2	0	94	58	61.1	58	61.1	61.7	17	17.9	19	20.0	1	1.1	20	21.1	37	38.9	1	1.1	37	38.9	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94	24	25.3	24	25.3	25.5	32	33.7	38	40.0	0	0.0	19	20.0	5	5.3	1	1.1	71	74.7	0	0	2	0	2.95	2.77
2008-09	Puget Sound Educational Service District 121	27	Pierce	27403	Bethel School District	4538	North Star Elementary	6	98	77	78.6	77	78.6	78.6	8	8.2	13	13.3	2	2.0	46	46.9	29	29.6	0	0.0	21	21.4	0	0	2	0	98	74	75.5	74	75.5	75.5	16	16.3	8	8.2	2	2.0	41	41.8	31	31.6	0	0.0	24	24.5	0	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.94	2.85
2008-09	Puget Sound Educational Service District 121	27	Pierce	27404	Eatonville School District	2205	Eatonville Elementary School	3	48	41	82.0	41	82.0	85.4	2	4.0	5	10.0	0	0.0	16	32.0	25	50.0	2	4.0	9	18.0	0	0	1	0	48	37	74.0	37	74.0	77.1	4	8.0	7	14.0	0	0.0	23	46.0	14	28.0	2	4.0	13	26.0	0	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.20	2.86
2008-09	Puget Sound Educational Service District 121	27	Pierce	27404	Eatonville School District	2205	Eatonville Elementary School	4	68	55	79.7	55	79.7	80.9	2	2.9	11	15.9	2	2.9	37	53.6	16	23.2	1	1.4	14	20.3	0	0	0	0	68	32	46.4	32	46.4	47.1	15	21.7	21	30.4	0	0.0	22	31.9	10	14.5	1	1.4	37	53.6	0	0	0	0	67	19	27.5	19	27.5	28.4	21	30.4	27	39.1	1	1.4	14	20.3	4	5.8	2	2.9	50	72.5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.88	2.36
2008-09	Puget Sound Educational Service District 121	27	Pierce	27404	Eatonville School District	2205	Eatonville Elementary School	5	52	37	71.2	37	71.2	71.2	5	9.6	10	19.2	0	0.0	21	40.4	16	30.8	0	0.0	15	28.8	0	0	0	0	52	35	67.3	35	67.3	67.3	7	13.5	10	19.2	1	1.9	16	30.8	18	34.6	0	0.0	17	32.7	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	17	32.7	17	32.7	32.7	13	25.0	22	42.3	0	0.0	13	25.0	4	7.7	0	0.0	35	67.3	0	0	0	0	2.92	2.83
2008-09	Puget Sound Educational Service District 121	27	Pierce	27404	Eatonville School District	2206	Eatonville High School	10	68	137	82.5	47	61.8	69.1	9	11.8	12	15.8	0	0.0	28	36.8	19	25.0	8	10.5	29	38.2	7	92	2	0	120	48	28.4	17	12.3	14.2	74	53.6	29	21.0	0	0.0	16	11.6	1	0.7	18	13.0	121	87.7	6	31	2	0	45	137	83.5	34	55.7	75.6	2	3.3	9	14.8	0	0.0	17	27.9	17	27.9	16	26.2	27	44.3	9	105	2	0	130	45	27.8	45	27.8	34.6	61	37.7	24	14.8	0	0.0	45	27.8	0	0.0	32	19.8	117	72.2	13	0	2	0	2.54	1.33
2008-09	Puget Sound Educational Service District 121	27	Pierce	27404	Eatonville School District	2361	Weyerhaeuser Elementary	3	72	47	65.3	47	65.3	65.3	10	13.9	15	20.8	0	0.0	28	38.9	19	26.4	0	0.0	25	34.7	0	0	0	0	72	44	61.1	44	61.1	61.1	15	20.8	13	18.1	0	0.0	35	48.6	9	12.5	0	0.0	28	38.9	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.78	2.53
2008-09	Puget Sound Educational Service District 121	27	Pierce	27404	Eatonville School District	2361	Weyerhaeuser Elementary	4	74	61	82.4	61	82.4	82.4	3	4.1	10	13.5	4	5.4	34	45.9	23	31.1	0	0.0	13	17.6	0	0	0	0	74	37	50.0	37	50.0	50.0	12	16.2	25	33.8	0	0.0	25	33.8	12	16.2	0	0.0	37	50.0	0	0	0	0	74	56	75.7	56	75.7	75.7	7	9.5	11	14.9	2	2.7	37	50.0	17	23.0	0	0.0	18	24.3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.93	2.50
2008-09	Puget Sound Educational Service District 121	27	Pierce	27404	Eatonville School District	2361	Weyerhaeuser Elementary	5	81	58	71.6	58	71.6	71.6	4	4.9	19	23.5	2	2.5	30	37.0	26	32.1	0	0.0	23	28.4	0	1	0	0	81	50	61.7	50	61.7	61.7	13	16.0	18	22.2	0	0.0	27	33.3	23	28.4	0	0.0	31	38.3	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82	21	25.6	21	25.6	25.6	24	29.3	37	45.1	1	1.2	18	22.0	2	2.4	0	0.0	61	74.4	0	0	0	0	2.91	2.74
2008-09	Puget Sound Educational Service District 121	27	Pierce	27404	Eatonville School District	2808	Columbia Crest Elementary School	3	21	16	76.2	16	76.2	76.2	3	14.3	2	9.5	0	0.0	13	61.9	3	14.3	0	0.0	5	23.8	0	0	0	0	21	15	71.4	15	71.4	71.4	3	14.3	3	14.3	0	0.0	9	42.9	6	28.6	0	0.0	6	28.6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.76	2.86
2008-09	Puget Sound Educational Service District 121	27	Pierce	27404	Eatonville School District	2808	Columbia Crest Elementary School	4	13	8	57.1	8	57.1	61.5	1	7.1	4	28.6	0	0.0	4	28.6	4	28.6	1	7.1	6	42.9	0	0	0	0	13	6	42.9	6	42.9	46.2	3	21.4	4	28.6	0	0.0	1	7.1	5	35.7	1	7.1	8	57.1	0	0	0	0	13	7	50.0	7	50.0	53.8	3	21.4	3	21.4	0	0.0	4	28.6	3	21.4	1	7.1	7	50.0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.64	2.43
2008-09	Puget Sound Educational Service District 121	27	Pierce	27404	Eatonville School District	2808	Columbia Crest Elementary School	5	28	25	89.3	25	89.3	89.3	1	3.6	2	7.1	0	0.0	9	32.1	16	57.1	0	0.0	3	10.7	0	0	0	0	28	16	57.1	16	57.1	57.1	5	17.9	7	25.0	0	0.0	2	7.1	14	50.0	0	0.0	12	42.9	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	16	57.1	16	57.1	57.1	4	14.3	8	28.6	0	0.0	12	42.9	4	14.3	0	0.0	12	42.9	0	0	0	0	3.43	2.89
2008-09	Puget Sound Educational Service District 121	27	Pierce	27404	Eatonville School District	2808	Columbia Crest Elementary School	6	19	16	84.2	16	84.2	84.2	1	5.3	2	10.5	0	0.0	11	57.9	5	26.3	0	0.0	3	15.8	0	0	0	0	19	14	73.7	14	73.7	73.7	2	10.5	3	15.8	0	0.0	5	26.3	9	47.4	0	0.0	5	26.3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.05	3.11
