SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	GradeTested	MathTotalTested	MathPercentMetStandard	MathPercentLevel1	MathPercentLevel2	MathPercentLevel3	MathPercentLevel4	MathPercentNotTested	MathPercentNotMet	MathPercentMet2003Standard	MathPercentWAAS	ReadingTotalTested	ReadingPercentMetStandard	ReadingPercentLevel1	ReadingPercentLevel2	ReadingPercentLevel3	ReadingPercentLevel4	ReadingPercentNotTested	ReadingPercentNotMet	ReadingPercentMet2003Standard	ReadingPercentWAAS	WritingTotalTested	WritingPercentMetStandard	WritingPercentNotTested	WritingPercentNotMet	WritingPercentWAAS	ListeningTotalTested	ListeningPercentMetStandard	ListeningPercentNotTested	ListeningPercentNotMet	ListeningPercentWAAS	ScienceTotalTested	SciencePercentMetStandard	SciencePercentLevel1	SciencePercentLevel2	SciencePercentLevel3	SciencePercentLevel4	SciencePercentNotTested	SciencePercentNotMet	SciencePercentWAAS	PercentMet3Standards	PercentMet2Standards	PercentMet1Standards	PercentMet0Standards	ReadingLevelIndex	MathLevelIndex	ScienceLevelIndex
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2108	Stevens Elementary	4	67	48.5	19.1	30.9	27.9	20.6	1.5	51.5	44.1	5.5	67	60.3	16.2	22.1	44.1	16.2	1.5	39.7	51.5	5.5	67	51.5	1.5	48.5	5.5	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	38.2	16.2	13.2	32.4	2.57	2.47	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2108	Stevens Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	67	8.8	50.0	39.7	8.8	0.0	1.5	91.2	2.8	NA	NA	NA	NA	NA	NA	1.56
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2109	Willard Elementary	4	87	54.4	14.4	27.8	24.4	30.0	3.3	45.6	48.9	0.0	87	60.0	7.8	28.9	43.3	16.7	3.3	40.0	48.9	0.0	87	43.3	3.3	56.7	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	31.1	22.2	20.0	26.7	2.62	2.63	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2109	Willard Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	88	15.9	36.4	47.7	14.8	1.1	0.0	84.1	0.0	NA	NA	NA	NA	NA	NA	1.81
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2110	Sheridan Elementary	4	78	66.7	15.4	17.9	32.1	34.6	0.0	33.3	64.1	0.0	79	70.9	5.1	24.1	32.9	38.0	0.0	29.1	65.8	0.0	78	59.0	0.0	41.0	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	45.6	22.8	12.7	19.0	3.04	2.86	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2110	Sheridan Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	63	25.0	34.4	39.1	23.4	1.6	1.6	75.0	0.0	NA	NA	NA	NA	NA	NA	1.89
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2111	Jefferson Elementary	4	93	81.7	2.2	16.1	20.4	61.3	0.0	18.3	81.7	2.1	93	91.4	0.0	8.6	61.3	30.1	0.0	8.6	84.9	2.1	92	82.8	1.1	17.2	2.1	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	74.2	12.9	7.5	5.4	3.22	3.41	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2111	Jefferson Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	71	44.0	17.3	33.3	41.3	2.7	5.3	56.0	0.0	NA	NA	NA	NA	NA	NA	2.19
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2127	Franklin Elementary	4	57	75.4	3.5	21.1	17.5	57.9	0.0	24.6	70.2	0.0	57	86.0	3.5	10.5	50.9	35.1	0.0	14.0	78.9	0.0	57	78.9	0.0	21.1	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	59.6	28.1	5.3	7.0	3.18	3.30	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2127	Franklin Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	49	18.4	30.6	51.0	18.4	0.0	0.0	81.6	0.0	NA	NA	NA	NA	NA	NA	1.88
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2128	Audubon Elementary	4	81	69.1	6.2	24.7	35.8	33.3	0.0	30.9	65.4	0.0	81	79.0	2.5	18.5	51.9	27.2	0.0	21.0	70.4	0.0	79	58.0	2.5	42.0	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	50.6	18.5	17.3	13.6	3.04	2.96	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2128	Audubon Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	64	7.2	36.2	49.3	5.8	1.4	7.2	92.8	0.0	NA	NA	NA	NA	NA	NA	1.58
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2129	Cooper Elementary	4	92	45.7	16.3	38.0	16.3	29.3	0.0	54.3	44.6	0.0	92	70.7	2.2	27.2	46.7	23.9	0.0	29.3	62.0	0.0	92	59.8	0.0	40.2	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	35.9	22.8	22.8	18.5	2.92	2.59	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2129	Cooper Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	82	13.4	36.6	50.0	13.4	0.0	0.0	86.6	0.0	NA	NA	NA	NA	NA	NA	1.77
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2155	Bemiss Elementary	4	80	82.5	7.5	10.0	30.0	52.5	0.0	17.5	80.0	2.4	80	75.0	5.0	20.0	45.0	30.0	0.0	25.0	72.5	2.4	80	71.3	0.0	28.8	2.4	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	61.3	18.8	7.5	12.5	3.00	3.28	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2155	Bemiss Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	68	20.3	42.0	36.2	20.3	0.0	1.4	79.7	3.9	NA	NA	NA	NA	NA	NA	1.75
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2156	Adams Elementary	4	47	66.0	4.3	29.8	31.9	34.0	0.0	34.0	59.6	0.0	47	91.5	2.1	6.4	72.3	19.1	0.0	8.5	76.6	0.0	46	74.5	2.1	25.5	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	53.2	29.8	12.8	4.3	3.09	2.96	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2156	Adams Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	71	25.4	29.6	45.1	25.4	0.0	0.0	74.6	0.0	NA	NA	NA	NA	NA	NA	1.96
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2172	Lewis & Clark High School	10	477	59.1	21.7	17.8	27.9	31.2	1.4	40.9	NA	0.0	477	75.8	8.9	13.8	11.4	64.5	1.4	24.2	NA	0.0	471	75.8	2.7	24.2	0.0	0	NA	NA	NA	NA	479	52.5	25.8	20.7	47.3	5.2	1.0	47.5	0.0	54.1	18.6	11.2	16.1	3.29	2.66	2.30
