BuildingNumber	GradeTested	ReadingPercent	MathPercentMet	WritingPercentMet	SciencePercentMet
3006	5	70	70		60
3101	3	82.2	66.7		
3101	4	77.6	60.5	77.6	
3101	5	82.8	74.2		51.6
3524	10	87	52.7	92.1	61.1
4318	6	77.3	48.8		
4318	7	77	64.2	83.2	
4318	8	85.9	68.7		73.2
4332	3	77.8	63		
4332	4	72.2	58.2	72.2	
4332	5	71.8	59.2		46.5
2326	3	72.3	63.9		
2326	4	55.2	46.3	43.3	
2326	5	61.2	35.3		15.3
2394	6	41.3	37.6		
2394	7	47.8	41	56.6	
2394	8	61.1	47.9		41.7
2659	3	55.9	55.2		
2659	4	80.2	64	66.3	
2659	5	78.1	68.8		50
2702	10	63.2	7.1	48.6	7.5
2795	10	73.4	29.8	87.5	34.5
2932	3	66.7	57.3		
2932	4	62.9	46.8	45.2	
2932	5	37.9	41.4		12.1
3169	6	51.7	33.6		
3169	7	42.2	30.5	51.8	
3169	8	52	49.6		30.8
3227	3	73.6	67.9		
3227	4	73.7	57.9	32.1	
3227	5	72	70		16
3439	3	50	39.6		
3439	4	50	48	36	
3439	5	54.3	33.8		14.3
3525	3	81.5	67.9		
3525	4	69.8	52.8	56.6	
3525	5	75.8	56.1		32.3
3669	3	81.7	96.7		
3669	4	71.1	84.2	48.7	
3669	5	84.2	73.7		49.1
3745	3	67.8	69.5		
3745	4	61.4	50.9	52.6	
3745	5	77.6	65.7		23.9
3825	3	66.7	61.5		
3825	4	74.1	56.8	83.5	
3825	5	69.1	58.8		44.1
4120	3	81.2	68.1		
4120	4	70.6	52.9	66.2	
4120	5	62.7	39		16.9
4347	3	80.2	75.8		
4347	4	76.7	60	71.1	
4347	5	84.3	69.7		39.3
4385	6	62.7	55.7		
4385	7	65	60.7	78.3	
4385	8	65.6	47.9		52.5
4417	3	88.2	82.4		
4417	4	71.7	68.7	51.5	
4417	5	72.8	56.3		39.8
4462	6	62.7	50.3		
4462	7	69.2	63.6	74.2	
4462	8	70.3	57.6		51.4
4474	10	82	43.4	84.5	38.1
1711	3				
1711	4				
1711	5				
1711	6				
1711	7				
1711	8				
1711	10				
2849	10	89.1	51.4	90	61.4
3286	3	88.8	73.3		
3286	4	78.1	69.2	80.1	
3286	5	79.4	60.3		55.3
3341	6	79.9	81		
3341	7	83.3	83.3	93.7	
3589	3	87.6	72.4		
3589	4	86.1	80.6	85.2	
3589	5	92.1	69.3		67.3
3589	6				
3589	8				
3937	6	71.3	71.3		
3937	7	77.8	75.9	88.5	
4415	3	92.7	83.2		
4415	4	91.2	83.7	85.7	
4415	5	82.6	68.9		60.2
4453	3	91.2	87.4		
4453	4	87.5	85	90	
4453	5	92.5	77.6		69.4
4556	8	78.3	76.5		73.9
1502	7				
1502	8	38.5	0		23.1
1502	10	66.7	15.8	71.4	36.8
2124	6	73.3	75.5		
2124	7	77.2	74	90.6	
2124	8	82.8	68.8		79.2
2222	3	89.5	81.6		
2222	4	86.7	75.9	88.4	
2222	5	89.9	84		92.4
2287	3	88.1	71.6		
2287	4	86.2	78.2	71.3	
2287	5	83.5	70.9		55.7
2288	3	74.6	57.9		
2288	4	69.2	69.2	67.3	
2288	5	78.8	62.5		50
2850	10	87.1	57.7	89.8	59.1
4308	3	76.7	70.9		
4308	4	81.9	45.8	83.1	
4308	5	78.9	44.2		41.1
4397	6	88.1	79.7		
4397	7	86.7	84.8	95.2	
4397	8	86.2	78.9		89
1540	10	44	8.3	45.8	9.1
1624	3				
1624	4				
1624	5				
1624	8				
1624	10				
2738	3	61.3	69.4		
2738	4	64.9	59.5	44.6	
2738	5	73.5	69.1		47.1
3038	6	76.5	74.1		
3038	7	72.1	77.3	86.2	
3038	8	79.7	75.3		77.2
3228	3	89.5	85.3		
3228	4	84.1	86	86.9	
3228	5	83.7	76.1		72.4
3385	10	93.8	73.4	95	72.6
3386	3	86.5	77.5		
3386	4	83.2	87.8	74	
3386	5	88.4	81.3		51.8
3440	3	79.4	76.2		
3440	4	65.5	67.9	64.3	
3440	5	82.9	63.2		46.1
3636	6	71.1	65.9		
3636	7	75.4	79.6	83.5	
3636	8	78.1	76.1		76.3
3637	3	87.3	85.9		
3637	4	72.3	77.6	51.5	
3637	5	81.3	57.8		32.8
3673	3	90.8	88.3		
3673	4	75	75.3	82.5	
3673	5	71.2	52.2		42.4
3746	3	83.9	74.7		
3746	4	81.5	81.5	71.6	
3746	5	84.7	79.7		54.2
3879	6	81.2	78.4		
3879	7	83.3	90.4	92.5	
3879	8	86.1	76.3		80.1
3962	10	88.3	60.1	92.8	60.5
4300	3	87.4	82.8		
4300	4	81.9	81.9	79.5	
4300	5	81.4	75.7		55.7
4375	3	87.2	84.9		
4375	4	83.3	87.5	85.4	
4375	5	91.2	87		54.9
4376	3	90.3	86		
4376	4	82.8	87.3	83.6	
4376	5	92.7	82.1		62.6
4460	6	89.2	85.6		
4460	7	85.8	86.4	95.6	
4460	8	85.2	69.7		81.7
4493	3	92.2	88.7		
4493	4	93.8	89.1	94.6	
4493	5	88.3	82.8		60.9
4495	10	95.5	78.9	98.4	77
4565	3	89	94.5		
4565	4	91.3	90.2	88	
4565	5	83.8	84		61.9
1771	3				
1771	4				
1771	5				
1771	6				
1771	7				
1771	8				
1771	10				
2185	3	69.6	44.6		
2185	4	82.1	64.7	50	
2185	5	78.3	62.9		42
2185	6	76.8	78.6		
2703	3	82.3	60.8		
2703	4	74.7	51.8	63.4	
2703	5	77.3	68.2		43.2
2703	6	76.9	66.7		
2990	3	73.8	46.8		
2990	4	66.2	39	66.2	
2990	5	74.5	70.9		46.4
2990	6	73	61.9		
3104	3	78.5	65.2		
3104	4	77.9	62.8	71.4	
3104	5	77.5	62.2		28.2
3104	6	55.2	54.3		
3230	3	85.7	87		
3230	4	85.9	82.1	74.4	
3230	5	85.7	71.4		64.3
3230	6	77.4	75.5		
3231	3	83.9	83.9		
3231	4	85.5	80.6	83.9	
3231	5	92.2	68.6		41.2
3231	6	81.3	84.6		
3343	10	89.9	51.6	89	61.2
3387	7	70.6	66.8	78	
3387	8	81.8	67		71
3489	3	83.8	73.5		
3489	4	79.7	67.8	75.9	
3489	5	83.3	51.9		44.4
3489	6	86	65.1		
3527	3	84.7	72.2		
3527	4	85.7	67.9	87.5	
3527	5	84.4	70.3		53.1
3527	6	77.5	64.8		
3674	7	73.2	70	78.3	
3674	8	81.6	74.6		76.5
3921	10	84.5	52.1	84.7	54.8
3958	3	79.7	73		
3958	4	84.1	62.2	67.1	
3958	5	89.9	78.5		69.6
3958	6	85.2	75.3		
1649	3				
1649	4				
1649	5				
1649	6				
1649	8				
1649	10				
1658	3	100	69.2		
1658	4	63.6	63.6	81.8	
1658	5	100	90		90
1658	6	93.3	93.3		
1687	3	100	66.7		
1687	4	91.7	75	100	
1687	5	100	66.7		66.7
1687	6	66.7	61.5		
1688	3				
1688	4	52.6	26.3	15.8	
1688	5	63.2	26.3		21.1
1688	6	76.9	69.2		
1688	7	46.7		53.3	
1688	8				
1688	10	79.3	41.4	75.9	37
1706	7	87.7	89.2	92.3	
1706	8	94.9	91.5		96.6
1706	10	100	94.4	94.2	95.8
1800	6	89.5	71.1		
1800	7	91.7	86.1	97.2	
1800	8	91.4	85.7		91.4
1804	10	35.7			7.7
2289	3	78.9	59.6		
2289	4	64.5	54.8	50	
2289	5	75	71.9		51.8
2289	6	79.4	60.9		
2308	7	71.7	75.3	89.2	
2308	8	84.5	58.3		76
2739	10	86.9	62.4	92.7	68.7
2796	3	81.1	71.7		
2796	4	83.3	75	87.5	
2796	5	82	60		48
2796	6	81.5	55.6		
2992	3	76.1	56.3		
2992	4	55.2	43.1	69	
2992	5	75.4	65.6		54.1
2992	6	57.8	45.3		
3041	3	89.6	76.6		
3041	4	95.3	57.8	87.3	
3041	5	92.2	59.4		46.9
3041	6	82.7	65.4		
3232	7	87.9	79.3	89.5	
3232	8	80.9	59.6		80.9
3441	3	82	55.1		
3441	4	79.8	73.7	78.8	
3441	5	83.1	66.2		56.9
3441	6	67.9	66.7		
3490	3	91.2	63.2		
3490	4	76.2	57.1	77.8	
3490	5	72.4	50		43.1
3490	6	76.5	74.5		
3528	10	91.6	69.5	91.3	71.7
3529	3	89.5	80.3		
3529	4	95.5	82.1	95.5	
3529	5	92.3	75.4		69.2
3529	6	92.6	70.4		
3548	3	98.6	94.6		
3548	4	86.1	75.7	83.3	
3548	5	83.3	78.3		66.7
3548	6	87.3	81		
3590	7	75.7	72.2	81.7	
3590	8	79.4	60.6		73.1
3591	3	92.3	82.4		
3591	4	87.5	73.6	83.3	
3591	5	89.7	67.9		69.2
3591	6	90.4	78.3		
3592	3	85.7	76.5		
3592	4	83.9	57.1	71	
3592	5	75.9	51.7		44.8
3592	6	71.4	66.7		
3675	3	76.9	56.1		
3675	4	80.3	60.7	77	
3675	5	76.8	66.1		46.4
3675	6	81.2	62.3		
3675	7				
3675	8				
3703	3	91.8	75.4		
3703	4	78.6	76.2	71.4	
3703	5	87.3	71.4		56.4
3703	6	71.1	50		
3704	3	83.7	67.3		
3704	4	71.7	66.7	76.1	
3704	5	80.4	66.1		42.9
3704	6	60.6	64.7		
3706	7	75.9	72.7	75.7	
3706	8	76.3	50		67.2
3747	3	92.5	83.6		
3747	4	76	64	73.3	
3747	5	85.3	68		44
3747	6	69.6	58		
3748	3	65.1	33.3		
3748	4	79.6	65.3	65.3	
3748	5	73.8	50		36.7
3748	6	47.7	36.4		
3771	10	91.2	61.1	89.9	67.5
3855	10	65.2	23.8	90.5	36.8
3856	3				
3856	4				
3856	5				
3922	7	69.2	57.6	66.9	
3922	8	71.3	48.2		64.8
3941	3	95.6	76.5		
3941	4	97.3	78.4	90.5	
3941	5	88.7	83.1		61.4
3941	6	83.8	83.8		
4018	3	92.4	77.3		
4018	4	81.7	73.2	80.3	
4018	5	84.3	77.1		58.6
4018	6	77.6	73.1		
4096	3	91.9	86.9		
4096	4	87.2	82.4	88.1	
4096	5	94.9	69.4		63.3
4096	6	89.4	81.2		
4147	3	92.9	89.3		
4147	4	86.1	80	73.6	
4147	5	85.9	85.7		76.6
4147	6	82.8	68.8		
4148	7	84.7	82.3	88.7	
4148	8	85.7	68.6		77.2
4167	7	93.1	100	89.7	
4167	8	82.8	86.2		89.7
4256	3	91.4	87.2		
4256	4	91.2	87.9	85.7	
4256	5	93.2	91		73.9
4256	6	82.8	84.9		
4302	3	93.6	87.2		
4302	4	96.7	93.5	90.2	
4302	5	89.7	75.6		62.8
4302	6	85.5	84.1		
4336	3	94.3	76.1		
4336	4	94.1	82.4	82.4	
4336	5	90.9	80.3		50
4336	6	89.1	82.8		
4354	3	93.1	75		
4354	4	91.7	81.9	88.9	
4354	5	90.4	79.5		63
4354	6	83.6	72.7		
4386	7	83.4	83.4	93.1	
4386	8	84.1	58.4		83.8
4386	10				
4424	3	65.3	36.7		
4424	4	72.9	62.5	75	
4424	5	69.6	34.8		46.7
4424	6	77.1	51		
4439	10	94.4	69.1	99.1	77.2
4532	3	93.6	69.2		
4532	4	90	82	94	
4532	5	95.1	87.7		56.8
4532	6	90	90		
1807	10				
2565	3	72.3	58.5		
2565	4	70.4	65.4	87.7	
2565	5	77.2	74.7		31.6
2565	6	68.5	70.8		
2797	10	62.9	33.1	71.4	27.4
2851	3	52.6	52.6		
2851	4	48.1	43	30.4	
2851	5	47.5	52.5		10
2851	6	61.5	46.2		
3014	3	72.2	72.2		
3014	4	76.9	50	84.6	
3014	5	88	52		52
3014	6	77.8	66.7		
3014	7	66.7	56.7	70	
3014	8	80.8	69.2		53.8
3014	10	76.2	35.9	87.8	33.3
3233	7	54.3	58	65.7	
3233	8	66.6	55.1		49.6
3388	3	62.9	58.6		
3388	4	51.3	31.6	55.3	
3388	5	50	37.2		14.1
3388	6	64	49		
3389	3	47.1	40		
3389	4	46.4	52.2	34.8	
3389	5	44.8	33.3		5.7
3389	6	49.3	47.9		
3491	3	53.6	53.6		
3491	4	50.9	43.6	38.2	
3491	5	58.6	50		17.1
3491	6	55.1	47.8		
3550	3	74.6	74.6		
3550	4	67	71.6	67	
3550	5	79.6	76.3		48.4
3550	6	82.4	81.2		
3593	3	69.2	72.3		
3593	4	68	54.7	48	
3593	5	71.3	61.3		28.8
3593	6	66.2	61.8		
3640	10	87.6	61.8	92.9	56
3676	3	42.9	47.6		
3676	4	50	47.6	52.4	
3676	5	73.7	50		5.3
3676	6	72.1	55.8		
3677	3	60.8	58.8		
3677	4	45	33.3	42.4	
3677	5	56.4	49.1		10.9
3677	6	52.6	47.4		
3678	3	75.8	74.2		
3678	4	69.6	58.7	67.4	
3678	5	71.2	48.3		10.2
3678	6	70	58.6		
3707	3	56	64		
3707	4	60	65.5	67.3	
3707	5	61.5	53.8		19.2
3707	6	47.4	51.3		
3708	3	85.2	82		
3708	4	80	74.7	76	
3708	5	75	66		43
3708	6	80.8	80.8		
3764	7	54.1	54.3	62.5	
3764	8	66.7	53.3		46.2
4126	3	66.2	56.9		
4126	4	63	54.9	64.2	
4126	5	62.7	46.3		22.4
4126	6	66.7	53.8		
4127	7	63.2	61.3	63.2	
4127	8	66.7	60.3		57.1
4128	10	79	47.6	85.1	44.9
4293	3	80.7	84.1		
4293	4	77.4	77.4	71	
4293	5	87	74.3		31.9
4293	6	81	64.2		
4294	3	71.2	81.8		
4294	4	64.8	63.6	78.4	
4294	5	80	69.3		20
4294	6	77.6	74.6		
4301	3	66	55.3		
4301	4	40.8	32.7	16.7	
4301	5	68.3	48.8		0
4301	6	57.1	55.1		
4345	3	60	58.7		
4345	4	66.7	65.3	75	
4345	5	56.6	54.2		21.7
4345	6	72	56.1		
4353	3	72.7	63.6		
4353	4	78.7	71.1	42.7	
4353	5	67.1	50.6		38.1
4353	6	77.5	57.5		
4356	3	64.4	50.7		
4356	4	57.8	45.8	58.5	
4356	5	62.2	41.5		17.5
4356	6	60.3	51.3		
4413	3	55.7	42.9		
4413	4	42.3	43.7	53.5	
4413	5	50.9	52.8		11.3
4413	6	43.9	38.6		
4420	3	79.4	84.5		
4420	4	75.3	68.2	84.7	
4420	5	83.8	72.5		48.8
4420	6	70.9	73.4		
4440	7	59.6	59.8	67.3	
4440	8	66.2	57.6		66.3
4465	3	47.8	48.6		
4465	4	57.1	30.4	48.2	
4465	5	37.5	28.1		6.3
4465	6	55	43.3		
4466	3	88.4	84.1		
4466	4	76.5	73.8	73.8	
4466	5	93.6	70.5		28.2
4466	6	79.5	83		
4485	7	68.7	74.2	77	
4485	8	71	68.4		61.4
4489	3	55.2	62.7		
4489	4	64.4	66.7	72.4	
4489	5	60	40		6.7
4489	6	64.1	51.9		
4492	10	81	53.9	92.3	50.5
4520	3	54.5	49.4		
4520	4	52.2	47.8	56.7	
4520	5	66.3	46.7		27.2
4520	6	76.6	67.2		
4545	3	69.4	59.7		
4545	4	58.5	56.1	58	
4545	5	66.7	66.7		28.6
4545	6	62.5	66.7		
1814	3				
1814	4				
1814	5				
1814	6				
1814	7	50	20	52.9	
1814	8	34.8	26.1		39.1
1814	10	67.4	21.6	71.8	44
2993	3	56.6	50		
2993	4	78.4	64.4	76.7	
2993	5	73.7	64.5		43.4
2993	6	74.6	60.6		
3105	3	84.6	76.9		
3105	4	67.9	62.8	66.7	
3105	5	89.3	71.1		50
3105	6	79.4	79.4		
3106	10	88.3	63	94.3	64.1
3107	3	91.1	84.4		
3107	4	81.8	65.9	75	
3107	5	80.7	68.4		45.6
3107	6	80	78.2		
3234	3	83.3	69		
3234	4	85	72.5	87.5	
3234	5	88.1	52.4		33.3
3234	6	83.8	78.4		
3287	3	72.6	61.3		
3287	4	73.8	67.2	77	
3287	5	85.5	71		54.8
3287	6	76.7	81.7		
3344	3	84.2	80.3		
3344	4	75.7	59.5	56.8	
3344	5	83.1	75.4		55.4
3344	6	91.6	75.9		
3345	7	78.7	70.7	81.2	
3345	8	79.6	65.7		63.7
3345	10				
3390	3	93.2	85.1		
3390	4	95.2	77.4	93.5	
3390	5	81.5	80		46.2
3390	6	86.1	75		
3442	3	76.5	76.5		
3442	4	81.5	71.6	75.3	
3442	5	75.9	75.9		47
3442	6	84.9	83.7		
3492	10	94.5	72.8	97	70.2
3493	7	74.3	68.3	83.9	
3493	8	79.9	75.3		64.9
3679	3	90	78.3		
3679	4	80.9	72.1	64.7	
3679	5	85.1	68.8		44.7
3679	6	93.3	95		
3749	3	80.3	81.6		
3749	4	79.7	64.9	75.7	
3749	5	85.2	68.2		43.2
3749	6	92.2	84.3		
3790	7	73.4	63.9	83.6	
3790	8	86.6	83		67.4
3811	10	90.3	19.4	80.6	26.7
4017	3	85.2	76.5		
4017	4	70.1	64.9	75.3	
4017	5	75.2	70.6		50.5
4017	6	83.8	80		
4021	7	72.5	67.5	77.1	
4021	8	83.7	77.8		73.3
4069	3	86.7	86.7		
4069	4	90	86.3	90	
4069	5	88.8	75		60
4069	6	90.9	85.2		
4124	3	86.4	72.7		
4124	4	78.9	66.7	63.2	
4124	5	69.8	71.7		54.7
4124	6	87.3	72.7		
4187	3	86.3	90.2		
4187	4	90.9	95.5	84.1	
4187	5	85.2	81		68.3
4187	6	85.2	87		
4208	10	95.3	70.5	97.3	71.1
4305	3	93.8	93.8		
4305	4	86.3	76.3	73.8	
4305	5	86.2	83.1		58.5
4305	6	83.1	83.1		
4306	3	72.3	69.9		
4306	4	82.1	71.4	71.1	
4306	5	87.4	79.3		68.6
4306	6	94	81		
4355	3	88.9	81		
4355	4	81.8	56.1	77.3	
4355	5	81.5	62.3		41.5
4355	6	78.6	75.7		
4371	7	71.3	69.7	82.9	
4371	8	81.6	79.4		67.1
4377	3	86.7	76.1		
4377	4	78.2	68.3	63.4	
4377	5	78.6	58.8		51.1
4377	6	82	77.3		
4379	3	90.6	76.6		
4379	4	90.8	93.8	92.3	
4379	5	96.3	90		76.3
4379	6	96.4	94.6		
4455	3	83.5	82.3		
4455	4	80	59.3	76.3	
4455	5	75.7	54.1		40.5
4455	6	69.9	72.6		
4516	7	84.7	82.9	91.8	
4516	8	79.2	76.5		83.6
1737	10	38.5	0	53.8	16.7
1749	3				
1749	4				
1749	5				
1749	6				
1749	7				
1749	8				
2613	3	64.5	56.3		
2613	4	47.8	31.3	46.2	
2613	5	63.5	36.5		14.1
2853	3	84.4	79.4		
2853	4	59.8	44.8	64.8	
2853	5	61.9	47.6		33.3
3108	3	81.5	81.5		
3108	4	68.5	75.9	85.2	
3108	5	81.8	81.8		39
3109	10	69.3	30.8	77.1	33.9
3171	3	73.1	59.6		
3641	3	58.2	48.1		
3641	4	67.1	40.8	59.2	
3641	5	69.5	64.6		37
4421	3	85.7	80		
4421	4	65.8	54.5	28.9	
4421	5	83.7	77.6		42.9
4441	6	51.5	48.8		
4441	7	59.2	43.1	49.2	
4441	8	65.6	42.6		48.3
1699	3	92.3	53.8		
1699	4	75	58.3	50	
1699	5	100	84.6		61.5
1699	6	84.6	76.9		
1699	7	95.8	83.3	83.3	
1699	8				
1841	3				
1841	4				
1841	5				
1841	6				
2395	10	94.5	75.5	94.5	72.1
3043	3	92.2	88.9		
3043	4	97.1	75.4	95.7	
3552	3	88.5	75.9		
3552	4	86.4	72.7	84.1	
4062	3	87.3	71.4		
4062	4	89	80.2	85.7	
4505	6				
4505	7	86.7	88.3	90.2	
4505	8	92	77.2		84.1
4542	4				
4542	5	86.4	68.1		57.2
4542	6	84.2	71.8		
1677	3				
1677	5				
1677	6				
1677	8				
1677	10				
1733	3				
1733	4				
1733	5				
1733	6				
1733	7				
1733	8				
2026	3	84.3	80.7		
2026	4	72.6	54.8	70.2	
2026	5	83.3	70.5		39.2
2476	6	65.3	61.8		
2476	7	69.7	64.4	79.1	
2476	8	71.2	60		64.1
2798	3	83.1	59.3		
2798	4	83.6	67.3	76.4	
2798	5	74.3	66.2		45.9
2854	3	84.3	76.5		
2854	4	72.9	50.8	64.4	
2854	5	88.4	48.8		60.5
3126	6				
3126	7				
3126	8				
3236	10	86.3	49.4	86.5	48
3391	3	70.8	53.1		
3391	4	76.4	52.8	55.6	
3391	5	71	49.3		42
4358	3	84.2	68.4		
4358	4	86	57.9	52.6	
4358	5	76.1	41.3		39.1
4359	6	76.4	49.4		
4359	7	71.9	57.6	56.5	
4359	8	78.8	47.6		66.2
4461	3	96.7	86.7		
4461	4	75	71.7	78.3	
4461	5	90.2	82.9		52.4
4467	3	83.2	71.6		
4467	4	82.4	74.3	63.5	
4467	5	74.7	51.8		48.2
1740	3	53.3	40		
1740	4				
1740	5	60	40		20
1740	6	40	46.7		
1740	7	62.5	37.5	50	
1740	8	72.2	35.3		41.2
1740	10	92.3	48.3	88	46.7
2615	10	89.7	61.3	93.8	63.2
2994	3	79	80.6		
2994	4	82.5	66.7	68.4	
2994	5	83.9	61.3		58.1
2994	6	73.9	76.8		
3237	7	76.2	77	82.3	
3237	8	73.5	85.5		70.6
3594	3	83.1	68.8		
3594	4	69	60.3	53.4	
3594	5	75	36.5		19.2
3594	6	68.5	61.1		
3791	7	55.1	53.5	53.3	
3791	8	56.9	53.4		41.8
3936	10	47.1	9.4	60.6	9.4
4014	3	75.9	64.8		
4014	4	70.6	47.1	56.9	
4014	5	58.8	43.1		13.7
4014	6	61.5	71.2		
4015	3	79.2	75.5		
4015	4	73	58.7	58.7	
4015	5	71.9	59.4		35.9
4015	6	68.3	68.3		
4016	3	75.3	62.4		
4016	4	65.7	47.8	49.3	
4016	5	67.2	47.5		21.3
4016	6	62.8	52.6		
4100	10	77.3	41.6	85.6	48.4
4101	3	87.3	66.2		
4101	4	76.8	58	65.2	
4101	5	87.7	54.8		31.5
4101	6	66.7	63.2		
4135	3	72.7	62.1		
4135	4	41.9	39.5	69.8	
4135	5	59.7	44.8		26.9
4135	6	64.4	33.9		
4249	7	69.8	61.3	70.7	
4249	8	68.4	67.8		52.6
4341	3	83.6	64.2		
4341	4	66.7	53	66.7	
4341	5	67.6	53.5		36.6
4341	6	65.1	55.8		
4372	3	79.4	72.6		
4372	4	78.1	62.5	42.2	
4372	5	81.4	64.3		32.9
4372	6	66.7	52.6		
4393	3	80.3	59		
4393	4	74.3	58.6	48.6	
4393	5	76.9	46.2		29.2
4393	6	66.7	46.4		
4444	3	88.3	85		
4444	4	85.2	82.7	85.2	
4444	5	81.3	63.5		59.4
4444	6	82.5	77.3		
4509	7	69.4	51	81.5	
4509	8	68.8	45.9		56.3
4509	10	87.3	46.3	85.1	53
4527	3	61.7	48.3		
4527	4	60.6	56.1	56.1	
4527	5	65.4	62.8		25.6
4527	6	68.5	54.8		
1718	3				
1718	4	80	10	10	
1718	5				
1718	6	60	20		
1718	7	63.6	36.4	54.5	
1718	8	72.2	16.7		56.3
1718	10	75	5.6	82.4	23.5
2272	10	82.1	40.4	90.9	43.8
2641	3	82.2	72.6		
2641	4	79.4	80.9	57.4	
2641	5	79.7	69.6		52.2
2641	6	58.3	48.6		
2650	3	78	75.8		
2650	4	67.6	58.4	67.3	
2650	5	74.7	56.6		30.3
2650	6	73.8	69.9		
2995	3	64.3	71.4		
2995	4	72.9	56.3	77.1	
2995	5	84.7	69.5		20.3
2995	6	70	68		
3046	7	67.6	46.9	52	
3046	8	67.4	42.1		49.1
3110	3	75	70.6		
3110	4	78.7	74.7	69.3	
3110	5	66.7	55.6		37
3110	6	77.8	68.1		
3680	7	56.4	45.5	45.8	
3680	8	57.3	39.6		42.9
3899	10				
4029	3	74.3	62.2		
4029	4	67.2	50	56.3	
4029	5	58.7	50		21.7
4029	6	57.6	61		
4079	3	56.5	66.7		
4079	4	64.2	50.9	45.3	
4079	5	70.3	54.7		26.6
4079	6	69.1	58.8		
4141	3	81.3	81.3		
4141	4	73.2	50.7	70.8	
4141	5	83.3	69.2		35.9
4141	6	67.9	64.2		
4142	7	66.9	59.5	79	
4142	8	67.6	70.3		58.3
4348	3	73.8	81.3		
4348	4	76.5	79.4	85.5	
4348	5	74	61.6		26
4348	6	77.5	77.8		
4349	3	72.6	85.8		
4349	4	55.4	51.4	45.9	
4349	5	78	73		42
4349	6	64.4	64.4		
4350	3	80.7	73.5		
4350	4	76.4	75.3	74.2	
4350	5	84.6	65.9		39.6
4350	6	83.5	72.2		
2077	3				
2077	4				
2077	5				
3554	3				
3554	4	21.4	21.4	57.1	
3554	5				
3554	6				
3554	7				
3554	8				
3554	10				
2514	3	64.3	35.7		
2514	4	62.5	5.6	16.7	
2514	5	63.6	63.6		0
2514	6	66.7	40		
2514	7	46.7	33.3	60	
2514	8	61.5	30.8		54.5
2514	10	91.7	42.9	100	50
2453	6	60	48		
2453	7	62.3	60	75	
2453	8	81.1	48.1		62.1
2741	3	75.3	46.8		
2741	4	73.4	47.4	62	
2741	5	58.4	51.9		27.3
2996	8				
2996	10	86.3	39.4	86.9	50.5
3596	3	73.9	49.3		
3596	4	66.3	51.8	56.6	
3596	5	66.7	37.3		14.7
4411	3	73.9	69.6		
4411	4	61	39	50	
4411	5	65.8	53.2		28.8
2569	3	80.6	72.2		
2569	4	61.7	53.2	31.9	
2569	5	79.2	56.3		29.2
2766	6	38.9	38.9		
2766	7	56.4	65.5	80	
2766	8	65	73.3		62.7
2766	10	80.5	53.8	86.8	53.8
2328	3	76.8	42.9		
2328	4	62.7	46.3	56.7	
2328	5	75.6	42.3		23.1
2329	10	89.2	26.6	95.2	46.2
2570	6	68	45.3		
2570	7	59.7	52.2	80.6	
2570	8	63.8	50.6		63.8
2605	3				
2605	4				
2605	5				
2605	6				
2605	7				
2605	8				
2605	10				
3392	3				
3392	4				
3392	5	45.5	45.5		36.4
3392	6				
3392	7				
3392	8				
3392	10				
2251	3				
2251	4	75	16.7	75	
2251	5				
2251	6	78.6	50		
2251	7				
2251	8	60	30		30
2676	5	69.2	53.8		7.7
2676	6	78.6	28.6		
2676	7	47.4	42.1	57.9	
2676	8	75	58.3		58.3
2676	10	100	63.6	100	72.7
3062	3	93.8	87.5		
3062	4	75	41.7	54.5	
3047	3				
3047	4				
3047	5				
3048	6				
3048	7				
3048	8				
3048	10				
3494	3	100	58.3		
3494	4				
3494	5				
3494	6	63.6	45.5		
3494	7	23.1	30.8	15.4	
3494	8	30	10		20
3494	10	53.3	25	66.7	21.4
3530	3				
3530	4				
3530	5				
3530	6				
2677	3	58.7	39.7		
2677	4	65.2	36.8	47.1	
2856	10	82.4	38.9	91.4	43.4
3393	5	59.7	42.9		18.1
3393	6	61.8	44.8		
3393	7	48.1	34.2	56	
3393	8	62.8	62.8		41.5
2330	10	78	55.4	91.3	44.6
2997	3	76.8	46.3		
2997	4	61.7	40.4	58.5	
3394	5	44.8	23		13.8
3394	6	53.6	31.9		
3394	7	48.9	48.9	58.9	
3394	8	52.8	32.6		41.6
3049	3	40	20		
3049	4	53.8	34.6	42.3	
3049	5	41.7	45.8		25
3049	6	48.1	18.5		
3111	10	60.9	29.2	69.6	37.5
2273	7	47.1	47.1	48.6	
2273	8	74.5	56.4		61.8
2273	10	94	60	98	64
3288	3	83.1	62.7		
3288	4	74.6	49.3	62	
3288	5	78.8	74.2		43.9
3288	6	65.4	51.9		
2355	3				
2355	4				
2355	5				
2355	6				
2572	3	73.2	68.3		
2572	4	66.7	63.9	55.6	
2572	5	63	39.1		17.4
2572	6	50	38.5		
3238	7	50	50	76.4	
3238	8	64.3	26.2		45.2
3238	10	75	40	84.6	29.3
2678	3	61.9	52.4		
2678	4	59.1	31.8	42.9	
2678	5	37	29.6		11.1
3112	6	28.1	9.7		
3112	7	44	40	62.5	
3112	8	28.6	28.6		35
3112	10	64.7	12.5	68.8	31.3
2227	3	64.2	52.8		
2227	4	57.5	50	60	
2227	5	63.5	48.1		15.4
2441	6	81.4	45.8		
2441	7	63.4	46.3	65.9	
2441	8	57.4	48.9		55.3
2441	10	91.5	58.3	100	68.8
2290	3	64.4	39		
2290	4	52.5	42.4	29.3	
