BuildingNumber	GradeTested	ReadingPercent	MathPercentMet	WritingPercentMet	SciencePercentMet
4299	5	53.6	48.2		20
4380	3	76.3	77.1		
4380	4	71.9	60.3	79.4	
4380	5	75.4	66.2		31.5
4445	3	54.3	40.4		
4445	4	61.7	58.3	49.2	
4445	5	68.7	50.4		27.5
4498	6	66.1	46.1		
4498	7	64.8	51.9	67.8	
4498	8	67.7	54.6		55.1
4499	3	89.6	88.8		
4499	4	86.7	78.1	88.6	
4499	5	89.8	78.3		72.7
4523	10	75.1	33.3	90.6	29.5
4560	3	82.8	75		
4560	4	74.6	56.5	64.6	
4560	5	78.6	65.1		56.3
4561	6	76.8	72.9		
4561	7	69.9	73.7	79.8	
4561	8	76.3	79		74.2
2725	3	81.3	69.8		
2725	4	69.2	68.1	78	
2725	5	84.6	66.3		53.8
3474	3	87.4	78.2		
3474	4	86.5	70.3	73	
3474	5	87	71.7		58.7
4182	3	94.7	81.3		
4182	4	76.9	59.6	72.7	
4182	5	83.1	54.2		56.8
4508	6	82.7	78.4		
4508	7	83.3	71.1	88.5	
4508	8	85.4	75.7		80.6
4563	3	84.6	82.7		
4563	4	85.4	72.9	80.2	
4563	5	86.9	70		64.6
1597	3	88.5	53.8		
1597	4	72.4	31	62.1	
1597	5	60	30		10
1597	6	81.3	68.8		
1597	7	60	57.5	80	
1597	8	83.9	67.7		67.7
1597	10	88.6	50	94.3	48.6
1836	5	98	90.2		92.2
1836	6	95	96.7		
1836	7	100	96.4	100	
1836	8	94.6	82.5		80.4
1836	10	98.3	87.9	98.3	89.7
1875	3	73.9	47.8		
1875	4	66.7	44.4	48.1	
1875	5	90.3	51.6		41.9
1875	6	62.5	54.2		
1875	7	73	45.9	73	
1875	8	85.7	34.3		68.6
1875	10	93.5	45.2	96.7	53.3
2415	10	74.8	45.3	84.3	30.7
2671	5	65.9	50		33.5
2671	6	69.4	64.3		
2671	7	83	73.7	87.5	
2671	8	71.8	65.5		61.3
2910	3	73.8	55.7		
2910	4	66.7	46.6	51.7	
3018	3	61.1	47		
3018	4	63.4	41.7	52.6	
3545	5	62.7	49.1		31.1
3545	6	58.8	48.5		
3545	7	54.5	57.8	56.2	
3545	8	56.8	53.6		54.3
3996	3	67.4	45.3		
3996	4	68.8	36.6	49.5	
3997	5	65.4	59.6		33.7
3997	6	60.2	50.9		
3997	7	74	71.2	71.2	
3997	8	65.7	67.3		58.2
4104	10	83.1	45	93.1	41.4
4144	3	67.8	53.4		
4144	4	64.5	38.8	57.9	
