SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	GradeTested	MathTotalTested	MathMetStandard	MathPercentMetStandard	MathLevel1	MathPercentLevel1	MathLevel2	MathPercentLevel2	MathLevelMO	MathPercentLevelMO	MathLevel3	MathPercentLevel3	MathLevel4	MathPercentLevel4	MathNotTested	MathPercentNotTested	MathNotMet	MathPercentNotMet	MathWAASPORT	MathPercentWAASPORT	MathWAASDAW	MathPercentWAASDAW	ReadingTotalTested	ReadMetStandard	ReadPercentMetStandard	ReadingLevel1	ReadingPercentLevel1	ReadingLevel2	ReadingPercentLevel2	ReadingLevelMO	ReadingPercentLevelMO	ReadingLevel3	ReadingPercentLevel3	ReadingLevel4	ReadingPercentLevel4	ReadingNotTested	ReadingPercentNotTested	ReadingNotMet	ReadingPercentNotMet	ReadingWAASPORT	ReadingPercentWAASPORT	ReadingWAASDAW	ReadingPercentWAASDAW	WritingTotalTested	WriteMetStandard	WritePercentMetStandard	WritingLevel1	WritingPercentLevel1	WritingLevel2	WritingPercentLevel2	WritingLevelMO	WritingPercentLevelMO	WritingLevel3	WritingPercentLevel3	WritingLevel4	WritingPercentLevel4	WritingNotTested	WritingPercentNotTested	WritingNotMet	WritingPercentNotMet	WritingWAASPORT	WritingPercentWAASPORT	WritingWAASDAW	WritingPercentWAASDAW	ScienceTotalTested	ScienceMetStandard	SciencePercentMetStandard	ScienceLevel1	SciencePercentLevel1	ScienceLevel2	SciencePercentLevel2	ScienceLevelMO	SciencePercentLevelMO	ScienceLevel3	SciencePercentLevel3	ScienceLevel4	SciencePercentLevel4	ScienceNotTested	SciencePercentNotTested	ScienceNotMet	SciencePercentNotMet	ScienceWAASPORT	SciencePercentWAASPORT	ScienceWAASDAW	SciencePercentWAASDAW	PercentMet3Standards	PercentMet2Standards	PercentMet1Standards	PercentMet0Standards	ReadingLevelIndex	MathLevelIndex	ScienceLevelIndex
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	4281	Park Avenue Center	8	5	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	4281	Park Avenue Center	10	3	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	4283	Pearl Street Center	10	1	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	4537	Crescent Heights	3	96	91	93.8	0	0.0	5	5.2	0	0.0	49	50.5	42	43.3	1	1.0	6	6.2	0	0.0	0	0.0	96	85	87.6	0	0.0	11	11.3	0	0.0	30	30.9	55	56.7	1	1.0	12	12.4	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0.0	85.6	12.4	2.1	3.42	3.35	NA
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	4537	Crescent Heights	4	93	52	55.9	13	14.0	28	30.1	0	0.0	20	21.5	32	34.4	0	0.0	41	44.1	0	0.0	0	0.0	93	81	87.1	2	2.2	10	10.8	0	0.0	46	49.5	35	37.6	0	0.0	12	12.9	0	0.0	0	0.0	93	71	76.3	5	5.4	17	18.3	0	0.0	49	52.7	22	23.7	0	0.0	22	23.7	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	48.4	30.1	14.0	7.5	3.23	2.76	NA
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	4537	Crescent Heights	5	102	77	75.5	7	6.9	18	17.6	0	0.0	24	23.5	53	52.0	0	0.0	25	24.5	0	0.0	0	0.0	102	89	87.3	2	2.0	11	10.8	0	0.0	39	38.2	50	49.0	0	0.0	13	12.7	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	102	34	33.3	10	9.8	58	56.9	0	0.0	32	31.4	2	2.0	0	0.0	68	66.7	0	0.0	0	0.0	33.3	40.2	15.7	10.8	3.34	3.21	2.25
2006-07	Puget Sound Educational Service District 121	27	Pierce	27019	Carbonado School District	2466	Carbonado Historical School 19	3	20	9	45.0	1	5.0	10	50.0	0	0.0	9	45.0	0	0.0	0	0.0	11	55.0	1	4.5	0	0.0	21	13	61.9	3	14.3	5	23.8	0	0.0	10	47.6	3	14.3	0	0.0	8	38.1	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0.0	38.1	28.6	33.3	2.62	2.40	NA
2006-07	Puget Sound Educational Service District 121	27	Pierce	27019	Carbonado School District	2466	Carbonado Historical School 19	4	21	10	47.6	5	23.8	6	28.6	0	0.0	7	33.3	3	14.3	0	0.0	11	52.4	0	0.0	0	0.0	21	16	76.2	0	0.0	5	23.8	0	0.0	11	52.4	5	23.8	0	0.0	5	23.8	0	0.0	0	0.0	21	13	61.9	1	4.8	7	33.3	0	0.0	12	57.1	1	4.8	0	0.0	8	38.1	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	33.3	28.6	28.6	9.5	3.00	2.38	NA
2006-07	Puget Sound Educational Service District 121	27	Pierce	27019	Carbonado School District	2466	Carbonado Historical School 19	5	15	10	66.7	2	13.3	3	20.0	0	0.0	6	40.0	4	26.7	0	0.0	5	33.3	1	6.3	0	0.0	15	9	60.0	0	0.0	6	40.0	0	0.0	7	46.7	2	13.3	0	0.0	6	40.0	1	6.3	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	15	3	20.0	2	13.3	10	66.7	0	0.0	3	20.0	0	0.0	0	0.0	12	80.0	1	6.3	0	0.0	18.8	31.3	18.8	31.3	2.73	2.80	2.07
2006-07	Puget Sound Educational Service District 121	27	Pierce	27019	Carbonado School District	2466	Carbonado Historical School 19	6	20	15	75.0	0	0.0	5	25.0	0	0.0	7	35.0	8	40.0	0	0.0	5	25.0	0	0.0	0	0.0	20	17	85.0	0	0.0	3	15.0	0	0.0	9	45.0	8	40.0	0	0.0	3	15.0	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0.0	70.0	20.0	10.0	3.25	3.15	NA
