SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	GradeTested	MathTotalTested	MathMetStandard	MathPercentMetStandard	MathLevel1	MathPercentLevel1	MathLevel2	MathPercentLevel2	MathLevelMO	MathPercentLevelMO	MathLevel3	MathPercentLevel3	MathLevel4	MathPercentLevel4	MathNotTested	MathPercentNotTested	MathNotMet	MathPercentNotMet	MathWAASPORT	MathPercentWAASPORT	MathWAASDAW	MathPercentWAASDAW	ReadingTotalTested	ReadingMetStandard	ReadingPercentMetStandard	ReadingLevel1	ReadingPercentLevel1	ReadingLevel2	ReadingPercentLevel2	ReadingLevelMO	ReadingPercentLevelMO	ReadingLevel3	ReadingPercentLevel3	ReadingLevel4	ReadingPercentLevel4	ReadingNotTested	ReadingPercentNotTested	ReadingNotMet	ReadingPercentNotMet	ReadingWAASPORT	ReadingPercentWAASPORT	ReadingWAASDAW	ReadingPercentWAASDAW	WritingTotalTested	WritingMetStandard	WritingPercentMetStandard	WritingLevel1	WritingPercentLevel1	WritingLevel2	WritingPercentLevel2	WritingLevelMO	WritingPercentLevelMO	WritingLevel3	WritingPercentLevel3	WritingLevel4	WritingPercentLevel4	WritingNotTested	WritingPercentNotTested	WritingNotMet	WritingPercentNotMet	WritingWAASPORT	WritingPercentWAASPORT	WritingWAASDAW	WritingPercentWAASDAW	ScienceTotalTested	ScienceMetStandard	SciencePercentMetStandard	ScienceLevel1	SciencePercentLevel1	ScienceLevel2	SciencePercentLevel2	ScienceLevelMO	SciencePercentLevelMO	ScienceLevel3	SciencePercentLevel3	ScienceLevel4	SciencePercentLevel4	ScienceNotTested	SciencePercentNotTested	ScienceNotMet	SciencePercentNotMet	ScienceWAASPORT	SciencePercentWAASPORT	ScienceWAASDAW	SciencePercentWAASDAW	PercentMet3Standards	PercentMet2Standards	PercentMet1Standards	PercentMet0Standards	ReadingLevelIndex	MathLevelIndex	ScienceLevelIndex
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3253	Evergreen Middle School	8	296	119	39.7	104	34.7	73	24.3	0	0.0	79	26.3	40	13.3	4	1.3	181	60.3	8	2.5	0	0.0	299	229	76.3	18	6.0	52	17.3	0	0.0	108	36.0	121	40.3	1	0.3	71	23.7	8	2.5	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	298	159	53.0	51	17.0	88	29.3	0	0.0	113	37.7	46	15.3	2	0.7	141	47.0	8	2.5	0	0.0	36.8	18.6	23.8	20.8	3.10	2.16	2.50
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3407	Cascade High School	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	100.0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3407	Cascade High School	10	446	207	43.8	102	21.6	137	29.0	1	0.2	141	29.8	65	13.7	27	5.7	266	56.2	0	0.0	6	1.2	440	370	80.3	23	5.0	47	10.2	1	0.2	129	28.0	240	52.1	21	4.6	91	19.7	0	0.0	6	1.2	435	354	76.5	23	5.0	58	12.5	0	0.0	182	39.3	172	37.1	28	6.0	109	23.5	0	0.0	6	1.2	424	109	23.1	209	44.4	106	22.5	0	0.0	104	22.1	5	1.1	47	10.0	362	76.9	0	0.0	5	1.0	38.7	32.5	11.4	17.4	3.18	2.24	1.60
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3533	Jefferson Elementary	3	78	54	69.2	11	14.1	13	16.7	0	0.0	39	50.0	15	19.2	0	0.0	24	30.8	3	3.7	0	0.0	78	51	65.4	9	11.5	18	23.1	0	0.0	20	25.6	31	39.7	0	0.0	27	34.6	3	3.7	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.7	13.6	24.7	2.94	2.74	NA
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3533	Jefferson Elementary	4	82	59	72.0	10	12.2	13	15.9	0	0.0	32	39.0	27	32.9	0	0.0	23	28.0	1	1.2	3	3.5	82	74	90.2	0	0.0	8	9.8	1	1.2	27	32.9	46	56.1	0	0.0	8	9.8	1	1.2	3	3.5	85	59	69.4	7	8.2	19	22.4	1	1.2	34	40.0	24	28.2	0	0.0	26	30.6	1	1.2	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.5	15.1	15.1	9.3	3.43	2.93	NA
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3533	Jefferson Elementary	5	71	43	60.6	14	19.7	14	19.7	0	0.0	19	26.8	24	33.8	0	0.0	28	39.4	1	1.3	2	2.7	71	59	83.1	5	7.0	7	9.9	0	0.0	19	26.8	40	56.3	0	0.0	12	16.9	1	1.3	2	2.7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	32	45.1	10	14.1	28	39.4	0	0.0	27	38.0	5	7.0	1	1.4	39	54.9	3	4.0	0	0.0	37.8	28.4	17.6	16.2	3.32	2.75	2.35
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3686	Monroe Elementary	3	99	67	67.7	11	11.1	21	21.2	0	0.0	35	35.4	32	32.3	0	0.0	32	32.3	0	0.0	0	0.0	98	71	72.4	6	6.1	21	21.4	0	0.0	29	29.6	42	42.9	0	0.0	27	27.6	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.6	18.2	21.2	3.09	2.89	NA
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3686	Monroe Elementary	4	89	47	52.8	19	21.3	23	25.8	0	0.0	24	27.0	23	25.8	0	0.0	42	47.2	0	0.0	1	1.1	89	73	82.0	2	2.2	14	15.7	0	0.0	37	41.6	36	40.4	0	0.0	16	18.0	0	0.0	1	1.1	90	69	76.7	7	7.8	14	15.6	0	0.0	48	53.3	21	23.3	0	0.0	21	23.3	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47.8	27.8	12.2	12.2	3.20	2.57	NA
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3686	Monroe Elementary	5	97	66	68.0	12	12.4	19	19.6	0	0.0	35	36.1	31	32.0	0	0.0	31	32.0	0	0.0	0	0.0	97	82	84.5	0	0.0	15	15.5	0	0.0	33	34.0	49	50.5	0	0.0	15	15.5	0	0.0	1	1.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97	43	44.3	10	10.3	44	45.4	0	0.0	38	39.2	5	5.2	0	0.0	54	55.7	0	0.0	0	0.0	43.9	22.4	18.4	15.3	3.35	2.88	2.39
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3752	Eisenhower Middle School	6	227	114	50.2	64	28.2	49	21.6	0	0.0	79	34.8	35	15.4	0	0.0	113	49.8	2	0.8	4	1.7	226	163	71.5	7	3.1	56	24.6	0	0.0	121	53.1	42	18.4	2	0.9	65	28.5	2	0.8	4	1.7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46.6	28.6	24.8	2.85	2.37	NA
