,School_ID,School District,School,Enrollment,LowSES
,2432,Oakesdale School District,Oakesdale High School,29,26.67
,4108,Battle Ground School District,Preschool Infant Other,29,19.44
,1756,Riverview School District,CLIP,30,50
,2602,Keller School District,Keller Elementary School,30,84.62
,3406,Mill A School District,Mill A Elementary School,30,50
,2186,Sprague School District,Sprague High School,31,48.39
,3126,North Kitsap School District,Middle School Options,31,20.69
,3530,Roosevelt School District,Roosevelt Elementary School,31,0
,5232,Selah School District,Selah Preschool,31,56.52
,1670,Sultan School District,Student Services School,32,60
,1728,Prosser School District,Prosser Falls Education Center,32,72.5
,1738,Vancouver School District,Gate Program,32,56.67
,1936,Mount Baker School District,Educational Resource Center,32,0
,1939,Bainbridge Island School District,Bainbridge Special Education Services,32,0
,2278,Dixie School District,Dixie Elementary School,32,97.3
,2836,Brinnon School District,Brinnon Elementary,32,87.18
,4277,Seattle Public Schools,Hutch School,32,0
,4281,Tacoma School District,Park Avenue Center,32,88.24
,5070,Renton School District,Renton Academy,32,68.29
,5130,Eastmont School District,Special Education Pre-School ,32,11.11
,1823,Nooksack Valley School District,Nooksack Valley Special Services,33,36.96
,2088,LaCrosse School District,Lacrosse High School,33,20
,2115,Steptoe School District,Steptoe Elementary School,33,0
,3294,Juvenile Detention Centers,Cowlitz County Youth Services Center,33,75
,1743,Meridian School District,Meridian Special Programs,34,17.39
,1793,Fife School District,Learning Opportunity Center,34,62.5
,1911,Wellpinit School District,Wellpinit-Fort Semco High School,34,36.36
,1961,Palouse School District,Palouse at Garfield Middle School,34,36.11
,2049,Onion Creek School District,Onion Creek Elementary,34,75
,5190,Toledo School District,Toledo Alternative Options,34,54.17
,1646,Evergreen School District (Clark),49th Street Academy,35,62.5
,1897,Port Angeles School District,Special Education,35,42.11
,3643,Lyle School District,Lyle Middle School,35,87.18
,4263,Seattle Public Schools,Residential Consortium,35,2.38
,5228,Eastmont School District,Eastmont Columbia Virtual Academy,35,27.27
,1889,North Franklin School District,Connell Preschool,36,48.89
,1970,Pasco School District,Pasco Early Childhood,36,37.78
,3481,Juvenile Detention Centers,Kitsap Co Detention Ctr,36,97.62
,5042,Medical Lake School District,Medical Lake Alternative High School,36,61.11
,1500,Quillayute Valley School District,Forks Alternative School,37,59.46
,1574,Vancouver School District,Fir Grove Childrens Center,37,85.96
,1698,Spokane School District,SCCP Images,37,34.21
,1951,Federal Way School District,Support School,37,30.16
,2136,Orient School District,Orient Elem,37,65.71
,2711,West Valley School District (Spokane),Millwood Early Childhood Center,37,55.56
,5008,West Valley School District (Yakima),West Valley Preschool,37,47.17
,5084,Ferndale School District,Ferndale Special Services,37,0
,2263,Ferndale School District,Beach Elem,38,58.33
,3818,Edmonds School District,Maplewood Center,38,58.54
,1754,North Franklin School District,Palouse Junction High School,39,79.41
,1829,Winlock School District,Apolo High School,39,80.39
,5192,Tacoma School District,Special Services,39,20.97
,5290,Educational Service District 112,Clark County Juvenile Detention School,39,0
,1835,Wahluke School District,Sentinel Tech Alt School,40,96.15
,5176,Anacortes School District,Cap Sante High School,40,75
,5287,Shoreline School District,Early Childhood Education,40,25.93
,1819,Mary Walker School District,Parent Partner Program,41,100
,1937,East Valley School District (Spokane),Children First,41,55.88
,1987,Cle Elum-Roslyn School District,Swiftwater Learning Center,41,46.15
,3526,Juvenile Detention Centers,Spokane Juvenile Detention School,41,81.25
,3903,Everett School District,Special Services,41,51.06
,3047,Glenwood School District,Glenwood Elementary,42,40
,5072,South Kitsap School District,Madrona Heights PreSchool Program,42,50
,1861,North Mason School District,North Mason Homelink Program,43,51.28
,2087,LaCrosse School District,Lacrosse Elementary School,43,31.25
,3513,Woodland School District,Yale Elementary,43,63.27
,3616,Clarkston School District,Special Services,43,42.86
,4007,Juvenile Detention Centers,Benton/Franklin Juvenile Justice Center,43,66.67
,5958,Skills Centers,Washington Network for Innovative Careers,43,0
,1570,Monroe School District,Monroe Special Ed Preschool,44,28.26
,1763,Chewelah School District,Home Link Alternative,44,69.49
,1950,Federal Way School District,Employment Transition Program,44,69.77
,5216,Bethel School District,Bethel Elementary Learning Academy,44,28.89
,1518,Soap Lake School District,Smokiam Alternative High School,45,100
,1585,Tacoma School District,Comm Based Trans Program,45,60
,5114,Sultan School District,Sky Valley Options,45,61.36
,2743,Harrington School District,Harrington Elementary School,46,57.69
,5055,Camas School District,Papermaker Preschool,46,0
,1924,Ellensburg School District,Ellensburg Developmental Preschool,47,0
,1940,Lake Chelan School District,Glacier Valley High School,47,94.44
